GameDuration,BlueTeamWin,BlueTeamTowersTaken,BlueTeamInhibitorsTaken,BlueTeamDragonsTaken,BlueTeamGrubsTaken,BlueTeamRiftheraldTaken,BlueTeamBaronTaken,BluePlayer1Role,BluePlayer1ChampionId,BluePlayer1GoldSpent,BluePlayer1Level,BluePlayer1Kills,BluePlayer1Deaths,BluePlayer1Assists,BluePlayer1CreepScore,BluePlayer1WardScore,BluePlayer2Role,BluePlayer2ChampionId,BluePlayer2GoldSpent,BluePlayer2Level,BluePlayer2Kills,BluePlayer2Deaths,BluePlayer2Assists,BluePlayer2CreepScore,BluePlayer2WardScore,BluePlayer3Role,BluePlayer3ChampionId,BluePlayer3GoldSpent,BluePlayer3Level,BluePlayer3Kills,BluePlayer3Deaths,BluePlayer3Assists,BluePlayer3CreepScore,BluePlayer3WardScore,BluePlayer4Role,BluePlayer4ChampionId,BluePlayer4GoldSpent,BluePlayer4Level,BluePlayer4Kills,BluePlayer4Deaths,BluePlayer4Assists,BluePlayer4CreepScore,BluePlayer4WardScore,BluePlayer5Role,BluePlayer5ChampionId,BluePlayer5GoldSpent,BluePlayer5Level,BluePlayer5Kills,BluePlayer5Deaths,BluePlayer5Assists,BluePlayer5CreepScore,BluePlayer5WardScore,RedTeamTowersTaken,RedTeamInhibitorsTaken,RedTeamDragonsTaken,RedTeamGrubsTaken,RedTeamRiftheraldTaken,RedTeamBaronTaken,RedPlayer1Role,RedPlayer1ChampionId,RedPlayer1GoldSpent,RedPlayer1Level,RedPlayer1Kills,RedPlayer1Deaths,RedPlayer1Assists,RedPlayer1CreepScore,RedPlayer1WardScore,RedPlayer2Role,RedPlayer2ChampionId,RedPlayer2GoldSpent,RedPlayer2Level,RedPlayer2Kills,RedPlayer2Deaths,RedPlayer2Assists,RedPlayer2CreepScore,RedPlayer2WardScore,RedPlayer3Role,RedPlayer3ChampionId,RedPlayer3GoldSpent,RedPlayer3Level,RedPlayer3Kills,RedPlayer3Deaths,RedPlayer3Assists,RedPlayer3CreepScore,RedPlayer3WardScore,RedPlayer4Role,RedPlayer4ChampionId,RedPlayer4GoldSpent,RedPlayer4Level,RedPlayer4Kills,RedPlayer4Deaths,RedPlayer4Assists,RedPlayer4CreepScore,RedPlayer4WardScore,RedPlayer5Role,RedPlayer5ChampionId,RedPlayer5GoldSpent,RedPlayer5Level,RedPlayer5Kills,RedPlayer5Deaths,RedPlayer5Assists,RedPlayer5CreepScore,RedPlayer5WardScore
1411,1,11,3,3,3,1,0,TOP,82,10300,16,12,2,5,188,13,JUNGLE,234,11850,14,13,2,6,124,22,MIDDLE,105,8900,15,8,2,12,133,17,BOTTOM,360,10325,15,11,1,12,182,4,SUPPORT,555,7300,13,5,4,17,28,54,0,0,0,0,0,0,TOP,58,8400,15,4,9,1,148,12,JUNGLE,24,5833,12,2,10,3,94,12,MIDDLE,8,6350,12,3,12,1,132,4,BOTTOM,90,7175,11,1,12,3,143,11,SUPPORT,412,6750,12,1,7,5,47,37
1913,1,9,1,3,3,0,0,TOP,68,13275,18,6,8,11,214,33,JUNGLE,59,13325,17,8,6,21,172,19,MIDDLE,777,15250,18,17,8,11,282,20,BOTTOM,29,13650,15,13,10,8,194,21,SUPPORT,350,10820,16,2,10,29,11,59,5,0,2,0,1,2,TOP,150,11433,17,5,9,7,195,33,JUNGLE,154,17300,17,12,6,16,172,29,MIDDLE,233,14400,18,12,15,15,220,20,BOTTOM,145,16880,15,9,13,5,244,29,SUPPORT,37,10350,15,4,3,26,39,85
1709,1,7,2,2,0,1,1,TOP,86,11500,18,10,2,7,149,22,JUNGLE,102,10800,15,4,7,15,131,28,MIDDLE,950,13400,15,13,6,9,147,31,BOTTOM,360,12400,15,9,7,18,163,12,SUPPORT,800,9950,15,7,8,20,48,30,2,0,2,3,0,0,TOP,110,8500,16,2,7,2,168,24,JUNGLE,2,14650,16,16,9,6,159,28,MIDDLE,92,8800,13,3,10,4,140,17,BOTTOM,901,9675,14,3,11,9,170,23,SUPPORT,50,9840,13,6,6,12,75,59
1976,0,3,0,1,1,0,0,TOP,8,12860,18,5,9,5,227,19,JUNGLE,104,13800,17,7,5,10,219,21,MIDDLE,84,15050,17,15,5,7,257,21,BOTTOM,523,10275,15,3,13,5,195,19,SUPPORT,267,8965,14,2,5,18,24,90,10,2,4,2,1,2,TOP,83,14450,20,14,6,6,255,33,JUNGLE,131,13675,18,4,6,9,223,33,MIDDLE,3,14630,18,6,3,12,283,28,BOTTOM,202,12600,17,8,8,7,234,11,SUPPORT,555,9460,14,5,9,7,28,86
2081,1,9,1,3,3,0,1,TOP,82,11350,18,6,10,4,201,35,JUNGLE,56,14525,18,9,10,10,203,27,MIDDLE,142,12950,18,6,4,9,258,28,BOTTOM,18,18100,18,13,5,8,262,24,SUPPORT,518,11350,16,7,3,16,81,102,7,0,2,0,1,0,TOP,58,15000,19,8,8,8,264,28,JUNGLE,59,13825,17,3,5,15,200,27,MIDDLE,86,21015,18,12,8,2,289,33,BOTTOM,235,14050,16,3,9,9,263,39,SUPPORT,63,10710,15,6,11,8,55,78
1930,0,4,0,0,0,0,0,TOP,266,12850,18,7,6,4,208,31,JUNGLE,141,12050,16,3,10,7,167,31,MIDDLE,131,10450,14,4,14,5,160,20,BOTTOM,51,11700,15,3,5,5,250,25,SUPPORT,800,8715,13,4,7,7,60,61,11,1,4,3,1,0,TOP,904,7783,16,2,6,7,141,19,JUNGLE,876,12275,17,10,5,6,184,39,MIDDLE,92,15250,17,14,9,2,214,22,BOTTOM,81,12533,17,12,1,6,228,28,SUPPORT,902,9650,16,3,0,21,76,61
1905,1,9,2,3,0,1,1,TOP,98,10775,18,6,4,10,193,16,JUNGLE,62,14833,18,16,2,6,204,29,MIDDLE,103,12170,18,6,3,16,269,27,BOTTOM,81,12733,16,3,2,6,260,14,SUPPORT,99,8830,14,3,3,15,62,100,3,0,2,3,0,0,TOP,58,15450,20,7,1,3,297,23,JUNGLE,131,10800,15,2,9,3,163,21,MIDDLE,800,12000,16,3,8,2,277,25,BOTTOM,360,11600,15,1,7,3,257,19,SUPPORT,16,7350,13,1,9,4,43,86
1855,1,11,3,3,0,0,1,TOP,23,18250,20,9,3,6,311,16,JUNGLE,133,15250,18,17,11,8,146,20,MIDDLE,157,11875,16,7,13,8,190,14,BOTTOM,63,16000,16,13,6,12,224,19,SUPPORT,267,9370,16,0,4,27,34,77,3,0,2,3,0,0,TOP,17,11650,16,9,15,2,164,19,JUNGLE,59,14675,17,11,5,10,215,39,MIDDLE,103,12250,17,8,8,9,240,20,BOTTOM,895,14300,16,7,12,4,233,19,SUPPORT,526,8705,16,1,6,21,38,62
2052,0,5,0,1,1,0,0,TOP,45,12050,18,4,9,5,234,39,JUNGLE,266,17350,18,11,5,10,232,22,MIDDLE,122,11100,16,5,13,9,203,32,BOTTOM,51,17125,16,9,6,5,297,12,SUPPORT,147,8325,14,0,5,18,53,102,8,1,4,0,1,2,TOP,14,15300,20,6,5,11,256,26,JUNGLE,28,13800,18,9,5,7,188,34,MIDDLE,157,14575,18,11,8,10,282,23,BOTTOM,222,14300,18,11,3,8,278,24,SUPPORT,412,7730,15,1,9,16,49,104
2343,1,12,7,3,3,1,0,TOP,223,22480,20,16,7,5,242,20,JUNGLE,35,15150,18,8,11,7,187,52,MIDDLE,14,14700,18,6,16,8,231,26,BOTTOM,15,18350,18,13,8,14,343,26,SUPPORT,37,11310,17,1,9,21,62,90,6,1,3,0,0,1,TOP,126,14250,20,5,9,14,260,19,JUNGLE,141,24825,18,18,9,6,307,44,MIDDLE,101,14450,18,8,8,21,211,16,BOTTOM,22,23650,18,15,8,12,300,8,SUPPORT,50,12750,18,5,10,22,60,40
2108,1,10,2,3,3,0,1,TOP,83,11108,20,7,6,6,283,34,JUNGLE,120,15000,18,13,10,10,217,31,MIDDLE,43,11900,18,6,2,22,163,40,BOTTOM,145,12300,17,6,10,7,250,20,SUPPORT,99,12970,17,14,9,15,70,112,7,0,2,0,1,1,TOP,875,15175,18,10,8,2,248,27,JUNGLE,141,16175,17,10,10,6,215,19,MIDDLE,166,13325,18,6,14,1,265,21,BOTTOM,147,13525,16,5,7,15,195,30,SUPPORT,432,11095,16,6,7,17,39,120
2287,0,4,0,2,1,0,0,TOP,420,13250,18,6,10,7,204,13,JUNGLE,19,16875,18,13,10,8,194,47,MIDDLE,112,14350,18,6,7,13,293,21,BOTTOM,119,17900,17,9,9,6,305,25,SUPPORT,17,11425,17,4,7,11,105,115,11,4,4,2,0,2,TOP,74,14960,20,5,8,9,260,40,JUNGLE,887,19050,18,18,9,8,234,44,MIDDLE,90,13275,18,4,9,10,232,44,BOTTOM,110,20475,18,13,2,4,286,21,SUPPORT,37,11960,17,3,10,28,63,142
1144,1,5,0,3,3,1,0,TOP,23,8975,14,9,2,2,166,19,JUNGLE,35,4700,11,3,0,9,61,17,MIDDLE,101,6500,13,8,2,7,151,9,BOTTOM,202,7375,11,5,1,8,116,13,SUPPORT,40,4600,10,0,3,14,31,38,1,0,0,0,0,0,TOP,31,4100,11,1,5,1,70,14,JUNGLE,59,5850,10,0,7,4,96,25,MIDDLE,22,5687,11,2,3,2,127,3,BOTTOM,51,7625,9,5,9,0,127,11,SUPPORT,902,4550,9,0,1,5,27,27
1042,0,1,0,1,2,0,0,TOP,92,5350,12,1,5,0,104,4,JUNGLE,17,5150,9,3,2,2,66,11,MIDDLE,3,6250,12,3,2,3,113,9,BOTTOM,222,6250,9,2,5,1,141,24,SUPPORT,350,3855,8,0,3,3,29,49,1,0,1,1,0,0,TOP,150,6633,13,6,2,3,124,12,JUNGLE,35,5675,9,3,2,7,84,16,MIDDLE,115,4575,12,3,1,7,130,12,BOTTOM,145,5000,9,4,3,3,114,7,SUPPORT,117,4105,9,1,1,10,33,39
1740,1,9,1,3,3,1,1,TOP,86,8400,16,4,4,1,142,26,JUNGLE,102,11383,17,6,2,12,176,24,MIDDLE,112,10225,16,4,1,7,227,33,BOTTOM,222,17500,16,13,1,11,275,26,SUPPORT,89,7805,15,4,1,16,40,92,5,0,1,0,0,0,TOP,875,11975,17,6,3,2,216,34,JUNGLE,31,9200,14,1,9,4,144,16,MIDDLE,61,8650,14,0,6,3,224,20,BOTTOM,81,12633,14,2,5,2,255,15,SUPPORT,267,6555,11,0,8,4,42,100
2054,0,4,0,2,0,1,0,TOP,58,12775,18,6,5,1,284,36,JUNGLE,104,14075,17,6,6,10,215,50,MIDDLE,161,10850,16,7,7,9,204,24,BOTTOM,202,15030,15,12,5,8,249,17,SUPPORT,147,9960,14,3,3,18,46,99,9,1,3,3,0,1,TOP,36,13100,20,4,4,3,302,39,JUNGLE,35,15950,18,9,2,11,237,38,MIDDLE,105,11460,15,3,11,3,208,26,BOTTOM,119,16060,17,5,11,6,269,11,SUPPORT,432,10980,14,5,6,12,39,101
1923,0,4,0,1,0,0,0,TOP,36,12800,18,5,4,0,260,35,JUNGLE,113,11500,15,3,9,8,133,18,MIDDLE,777,11850,15,8,6,2,193,22,BOTTOM,804,12650,15,2,5,5,270,20,SUPPORT,902,7600,13,1,7,5,40,106,10,1,4,3,1,1,TOP,35,11600,19,5,3,4,263,36,JUNGLE,245,15375,18,11,2,10,240,38,MIDDLE,950,11150,15,6,12,7,165,14,BOTTOM,235,12700,16,6,0,12,259,38,SUPPORT,43,8885,14,3,2,18,40,83
1188,1,3,0,2,3,1,0,TOP,154,8150,15,6,2,2,177,21,JUNGLE,25,7300,12,3,2,5,119,11,MIDDLE,246,9950,13,7,1,5,151,11,BOTTOM,429,5000,11,0,6,1,150,9,SUPPORT,161,6685,10,6,4,7,38,60,2,0,1,0,0,0,TOP,516,6850,14,2,6,1,176,11,JUNGLE,143,5850,11,3,3,4,114,14,MIDDLE,777,6300,13,2,3,0,198,12,BOTTOM,81,8483,10,4,5,6,162,11,SUPPORT,163,5765,9,4,5,6,31,49
1308,0,2,0,1,0,0,0,TOP,122,5233,12,0,7,1,125,21,JUNGLE,131,6550,13,2,4,1,182,18,MIDDLE,427,5750,10,2,9,3,75,13,BOTTOM,63,8050,12,3,3,3,184,11,SUPPORT,147,7360,11,5,5,5,52,84,8,1,2,3,1,1,TOP,106,12300,16,12,0,4,222,30,JUNGLE,234,8175,14,4,2,9,138,31,MIDDLE,777,8550,15,9,2,3,210,9,BOTTOM,910,6750,12,1,5,8,134,6,SUPPORT,267,5310,10,2,3,9,28,61
2534,1,11,3,4,0,1,2,TOP,86,21128,20,11,7,2,344,48,JUNGLE,102,17658,18,8,7,12,250,33,MIDDLE,101,13935,18,7,4,16,229,27,BOTTOM,901,17750,18,13,3,9,296,38,SUPPORT,412,11540,17,2,8,25,58,127,4,0,3,3,0,1,TOP,122,14400,19,2,14,6,254,23,JUNGLE,254,20400,18,15,7,5,312,58,MIDDLE,103,14750,18,6,7,7,285,28,BOTTOM,22,17360,18,5,7,9,317,47,SUPPORT,34,11485,17,1,6,13,101,109
1650,0,2,0,1,0,0,0,TOP,777,11300,16,7,11,2,174,5,JUNGLE,141,10125,14,5,11,6,131,16,MIDDLE,268,11100,15,3,9,2,227,12,BOTTOM,901,8400,13,2,4,4,147,13,SUPPORT,101,8070,13,3,6,6,52,57,10,2,3,3,1,1,TOP,11,13900,17,18,9,4,169,24,JUNGLE,121,9350,15,5,3,6,103,28,MIDDLE,85,13550,18,12,2,10,239,16,BOTTOM,51,12600,15,6,4,6,228,11,SUPPORT,267,7970,13,0,2,17,29,72
1611,0,1,0,0,0,0,0,TOP,17,8800,15,3,10,4,154,21,JUNGLE,121,15567,15,13,6,2,137,15,MIDDLE,112,7025,14,0,11,5,139,18,BOTTOM,119,10545,14,5,10,3,207,13,SUPPORT,16,6320,11,0,12,7,21,54,9,1,4,3,1,0,TOP,904,9958,17,12,5,2,131,21,JUNGLE,62,9333,16,3,1,9,163,28,MIDDLE,55,9350,15,13,6,4,136,17,BOTTOM,800,13200,15,19,5,6,175,15,SUPPORT,143,7750,13,2,4,16,41,66
1420,0,3,0,1,0,0,0,TOP,74,8600,15,4,9,1,168,11,JUNGLE,28,8700,13,4,6,1,124,14,MIDDLE,5,6400,13,1,5,1,162,10,BOTTOM,110,8750,12,2,5,2,166,13,SUPPORT,111,5230,10,1,7,3,25,30,8,1,1,3,0,1,TOP,48,8133,15,6,5,5,90,8,JUNGLE,9,11525,15,6,3,10,138,44,MIDDLE,3,10600,16,11,1,3,168,13,BOTTOM,202,9525,14,8,1,6,194,9,SUPPORT,99,6350,12,1,2,13,52,54
2461,1,12,4,3,0,1,2,TOP,17,15450,20,4,5,10,294,36,JUNGLE,64,17825,18,11,9,18,199,62,MIDDLE,99,16900,18,16,6,19,221,19,BOTTOM,222,17600,18,15,10,10,247,22,SUPPORT,16,9780,16,0,11,35,28,113,7,1,3,3,0,1,TOP,150,13133,20,5,5,3,283,26,JUNGLE,141,14650,18,7,12,6,224,28,MIDDLE,84,12550,18,6,12,5,243,40,BOTTOM,523,22300,18,19,9,12,358,28,SUPPORT,147,11925,15,4,8,17,83,142
2099,0,7,0,3,3,1,0,TOP,122,12550,18,6,7,4,251,31,JUNGLE,91,14225,16,10,8,4,184,51,MIDDLE,5,14475,18,7,8,2,272,24,BOTTOM,202,10075,13,3,3,6,178,39,SUPPORT,26,9480,14,1,7,9,59,99,6,1,2,0,0,1,TOP,80,11975,19,8,8,7,202,29,JUNGLE,133,13450,18,7,7,10,193,29,MIDDLE,101,12375,17,7,4,10,244,26,BOTTOM,67,16800,17,10,5,9,257,22,SUPPORT,201,9085,15,1,4,21,48,108
1822,1,9,2,3,0,1,1,TOP,82,9500,18,1,9,5,159,28,JUNGLE,11,17250,18,23,6,4,191,20,MIDDLE,268,11910,16,8,11,11,210,24,BOTTOM,67,15900,17,11,5,11,243,39,SUPPORT,555,11465,15,7,6,16,50,93,3,0,1,3,0,0,TOP,79,12750,18,8,4,11,203,27,JUNGLE,517,11800,15,9,11,6,131,33,MIDDLE,39,13675,17,10,10,7,245,22,BOTTOM,29,15375,16,10,13,8,204,15,SUPPORT,267,7995,14,0,12,18,36,84
2396,1,8,1,3,3,1,1,TOP,266,17850,20,15,8,14,234,37,JUNGLE,421,15275,18,8,7,15,254,35,MIDDLE,54,12500,18,7,8,16,213,27,BOTTOM,800,18275,18,12,10,11,314,47,SUPPORT,875,10080,16,1,8,21,69,109,8,1,3,0,0,0,TOP,92,17200,19,11,11,10,232,33,JUNGLE,234,12375,16,3,13,10,155,47,MIDDLE,7,17075,18,9,4,13,321,29,BOTTOM,202,20750,18,16,6,11,309,38,SUPPORT,412,9235,15,2,10,21,52,99
920,1,3,0,1,3,0,0,TOP,23,7600,13,5,1,2,142,11,JUNGLE,56,5550,12,4,1,2,100,13,MIDDLE,910,6300,11,5,1,0,132,2,BOTTOM,498,6175,10,3,2,1,142,8,SUPPORT,267,3790,8,0,4,4,27,25,0,0,1,0,0,0,TOP,127,4300,11,2,6,0,93,7,JUNGLE,233,5650,10,2,3,5,75,10,MIDDLE,55,5300,9,5,4,2,82,3,BOTTOM,119,3825,10,0,1,0,125,0,SUPPORT,60,3300,8,0,3,3,29,20
1197,0,2,0,1,2,0,0,TOP,122,8400,14,6,6,0,148,10,JUNGLE,20,6600,11,2,5,2,116,13,MIDDLE,63,8900,13,8,5,3,115,7,BOTTOM,222,4500,10,0,8,0,123,6,SUPPORT,89,3300,9,0,6,3,13,27,3,0,1,1,1,0,TOP,102,5383,13,3,6,1,120,14,JUNGLE,19,7900,13,5,4,5,101,20,MIDDLE,84,7050,14,11,3,5,126,9,BOTTOM,235,7300,12,8,1,4,110,11,SUPPORT,518,6425,10,3,2,13,39,20
1640,1,8,1,3,3,1,1,TOP,14,10650,16,3,6,4,205,22,JUNGLE,62,11583,16,3,0,7,186,45,MIDDLE,55,10900,16,7,1,4,195,22,BOTTOM,115,10500,15,6,2,3,235,17,SUPPORT,432,8305,13,1,4,14,28,72,0,0,1,0,0,0,TOP,36,7850,16,0,2,5,208,14,JUNGLE,141,10150,14,6,7,1,140,32,MIDDLE,3,8400,15,1,5,4,214,17,BOTTOM,51,9775,13,3,2,2,223,28,SUPPORT,99,7335,12,3,4,4,74,75
2860,0,9,2,2,3,0,1,TOP,4,18560,20,9,13,13,280,45,JUNGLE,876,22750,18,14,11,18,294,22,MIDDLE,950,20950,18,13,12,20,307,40,BOTTOM,145,21975,18,17,10,9,347,42,SUPPORT,267,11270,18,1,10,32,41,102,15,5,5,0,1,3,TOP,31,19485,20,10,11,11,293,61,JUNGLE,113,17300,18,5,10,21,229,28,MIDDLE,238,20475,18,15,14,11,220,55,BOTTOM,67,30500,18,17,9,4,340,44,SUPPORT,432,13700,18,8,10,24,46,110
2343,1,12,3,3,3,1,1,TOP,17,14900,20,6,8,7,335,51,JUNGLE,102,17800,18,12,11,9,212,27,MIDDLE,39,18400,18,10,6,6,347,17,BOTTOM,804,18300,18,12,16,10,246,23,SUPPORT,267,9635,15,4,12,18,29,101,5,0,3,0,0,0,TOP,777,18200,20,9,8,8,362,27,JUNGLE,950,16300,18,13,13,14,204,29,MIDDLE,101,17775,18,17,2,7,338,46,BOTTOM,63,15750,17,10,10,15,237,36,SUPPORT,78,11115,16,4,11,20,52,131
2271,1,10,2,3,3,1,2,TOP,223,14550,20,17,6,8,195,21,JUNGLE,107,24050,18,16,9,8,299,57,MIDDLE,55,15975,18,12,6,8,242,38,BOTTOM,236,15450,18,9,13,12,239,27,SUPPORT,432,12340,18,3,5,29,46,104,4,0,2,0,0,1,TOP,63,11375,19,6,16,10,172,27,JUNGLE,11,19450,18,11,13,5,281,44,MIDDLE,3,12700,18,2,9,15,252,28,BOTTOM,800,20050,17,15,10,7,226,23,SUPPORT,147,13115,16,5,9,20,63,98
1909,0,6,0,0,3,1,0,TOP,82,13575,18,10,9,3,210,20,JUNGLE,133,12975,16,10,14,5,171,35,MIDDLE,157,15155,17,6,8,2,269,29,BOTTOM,236,15450,15,12,7,6,223,9,SUPPORT,267,8530,14,0,14,20,18,76,10,1,4,0,0,1,TOP,887,11050,18,7,9,4,187,28,JUNGLE,102,12108,18,9,6,15,190,39,MIDDLE,5,15700,18,16,6,16,256,33,BOTTOM,81,14183,16,12,9,12,199,22,SUPPORT,800,10555,15,8,8,21,66,83
1541,1,7,1,2,3,1,1,TOP,875,7475,15,5,8,6,112,17,JUNGLE,11,14900,15,13,10,10,138,9,MIDDLE,69,10350,17,8,1,10,221,16,BOTTOM,51,10800,14,3,5,9,193,11,SUPPORT,37,6930,13,0,5,20,43,65,5,0,1,0,0,0,TOP,122,12000,16,11,7,2,216,19,JUNGLE,59,8575,13,2,7,8,130,21,MIDDLE,55,9250,15,6,2,2,193,9,BOTTOM,63,12300,14,9,7,9,191,13,SUPPORT,412,7215,12,1,6,15,34,66
1816,1,8,1,3,3,1,1,TOP,777,11475,17,6,7,8,189,32,JUNGLE,200,15550,18,11,1,6,269,27,MIDDLE,134,11900,16,4,3,8,226,31,BOTTOM,22,12350,15,3,5,7,224,17,SUPPORT,3,8005,15,2,3,18,38,80,3,0,2,0,0,0,TOP,54,9625,17,4,7,4,213,36,JUNGLE,102,10850,16,4,5,4,210,22,MIDDLE,55,11250,15,4,8,1,213,27,BOTTOM,15,14250,15,7,4,3,288,23,SUPPORT,350,7875,14,0,2,10,20,57
2329,0,6,1,1,3,0,0,TOP,31,8850,16,2,16,1,119,36,JUNGLE,23,11350,15,5,8,1,169,32,MIDDLE,131,17800,18,9,9,3,308,32,BOTTOM,15,16250,18,3,4,4,394,28,SUPPORT,53,9315,15,2,10,6,48,82,8,1,4,0,0,2,TOP,58,14775,20,19,2,12,276,30,JUNGLE,141,11175,18,5,5,14,188,48,MIDDLE,711,12325,18,8,8,12,211,54,BOTTOM,235,15000,17,10,5,8,217,14,SUPPORT,99,11395,17,3,1,21,111,113
1741,0,6,0,0,2,1,0,TOP,58,14500,17,8,6,8,252,26,JUNGLE,35,10900,16,4,6,5,157,14,MIDDLE,4,11300,16,5,8,6,185,17,BOTTOM,360,10995,15,3,7,4,188,5,BOTTOM,106,10350,13,7,14,3,98,12,8,1,3,1,0,1,TOP,897,9750,17,2,12,14,168,13,JUNGLE,72,12725,17,11,1,10,164,17,MIDDLE,112,11450,17,8,5,5,239,12,BOTTOM,8,16700,18,14,5,9,285,22,SUPPORT,37,9680,15,5,4,13,57,67
1717,1,8,1,2,1,0,1,TOP,875,11350,17,11,6,10,156,20,JUNGLE,56,10375,16,5,3,6,185,27,MIDDLE,21,11675,15,11,9,10,198,37,BOTTOM,134,11000,15,9,5,13,167,23,SUPPORT,902,6970,13,1,2,24,17,67,3,0,2,2,1,0,TOP,54,9350,16,5,6,11,155,24,JUNGLE,20,10625,14,9,8,8,143,25,MIDDLE,157,10275,14,3,8,11,163,21,BOTTOM,51,11300,13,7,8,4,199,36,SUPPORT,412,7430,12,1,7,9,53,60
2280,0,8,2,1,2,0,1,TOP,122,18550,20,22,8,7,245,33,JUNGLE,105,15200,18,4,12,4,247,15,MIDDLE,4,15565,18,5,10,10,208,28,BOTTOM,18,17750,17,11,12,5,264,15,SUPPORT,117,11075,16,2,13,20,19,91,10,1,5,1,1,1,TOP,27,13400,20,3,12,12,287,39,JUNGLE,233,25700,18,26,6,6,216,31,MIDDLE,84,16170,18,9,5,4,268,21,BOTTOM,222,15550,18,12,10,12,255,19,SUPPORT,235,13750,18,5,12,30,71,106
1534,0,0,0,2,0,0,0,TOP,516,9100,16,5,7,10,151,2,JUNGLE,107,10950,13,7,7,3,131,17,MIDDLE,34,9325,16,2,6,3,237,11,BOTTOM,85,12950,16,4,7,10,229,16,SUPPORT,267,7190,13,2,9,13,24,49,11,3,2,3,0,0,TOP,82,10400,16,5,4,3,196,19,JUNGLE,98,9650,15,3,3,17,152,15,MIDDLE,103,10925,16,2,3,9,227,16,BOTTOM,360,18000,14,25,6,3,227,18,SUPPORT,111,8300,14,1,5,22,18,32
2039,0,4,0,1,0,1,0,TOP,54,14150,18,10,6,5,256,42,JUNGLE,950,14000,16,9,10,2,219,41,MIDDLE,45,10275,15,1,8,5,217,21,BOTTOM,523,13800,15,5,10,7,208,16,SUPPORT,902,8570,15,1,5,12,51,93,11,3,4,3,0,1,TOP,36,13400,20,3,4,12,284,28,JUNGLE,133,16500,18,10,5,12,217,49,MIDDLE,238,16650,18,12,4,9,237,31,BOTTOM,30,16300,17,11,6,14,256,33,SUPPORT,43,9665,15,3,7,23,47,75
1916,0,5,0,1,2,0,1,TOP,82,13700,19,9,7,4,237,21,JUNGLE,102,14250,17,9,7,7,193,19,MIDDLE,517,10775,15,8,9,7,146,33,BOTTOM,67,12950,14,9,11,2,181,20,SUPPORT,43,9320,14,3,6,17,45,77,8,1,3,1,0,0,TOP,92,11450,17,6,6,7,183,30,JUNGLE,154,11350,16,5,6,19,158,21,MIDDLE,800,14050,16,14,9,6,166,33,BOTTOM,901,15100,15,13,7,15,230,13,SUPPORT,161,9260,15,2,10,13,118,80
2734,1,11,3,5,3,1,2,TOP,24,17583,20,10,5,14,269,45,JUNGLE,131,20175,18,16,7,15,302,51,MIDDLE,22,14750,18,6,5,13,211,46,BOTTOM,523,18700,18,12,10,9,354,44,SUPPORT,101,13840,18,9,12,9,162,139,7,1,2,0,0,1,TOP,901,11500,19,1,11,6,223,35,JUNGLE,32,13300,18,2,10,6,202,51,MIDDLE,84,16960,18,12,17,7,242,61,BOTTOM,222,22405,18,12,5,8,388,27,BOTTOM,161,19210,18,12,10,5,207,102
2000,0,1,0,0,1,0,0,TOP,799,12150,19,5,7,4,251,24,JUNGLE,107,11400,16,5,10,7,157,21,MIDDLE,38,10900,17,5,5,3,233,13,BOTTOM,21,15400,17,8,9,7,267,30,SUPPORT,3,11530,15,9,9,12,41,89,11,3,5,2,1,2,TOP,86,14700,20,8,6,3,286,23,JUNGLE,121,14800,18,11,2,4,223,39,MIDDLE,517,11375,18,3,12,4,213,22,BOTTOM,51,16600,17,14,7,6,251,25,SUPPORT,35,11030,16,4,5,18,67,85
2514,0,6,0,4,0,0,1,TOP,887,15800,20,3,12,5,290,45,JUNGLE,120,22525,18,13,8,9,251,14,MIDDLE,90,16775,18,7,5,9,338,44,BOTTOM,222,20985,18,11,9,10,345,40,SUPPORT,37,9770,15,2,10,18,47,110,11,5,3,3,1,2,TOP,79,20850,20,16,4,10,305,42,JUNGLE,121,14475,18,9,7,7,245,51,MIDDLE,84,20850,18,13,8,8,272,19,BOTTOM,51,18375,18,6,8,5,341,17,SUPPORT,16,9790,18,0,9,22,42,150
1636,1,11,3,1,3,1,0,TOP,122,8850,17,4,6,3,212,19,JUNGLE,131,12425,16,7,4,12,164,18,MIDDLE,517,8750,14,2,8,10,140,17,BOTTOM,63,19750,16,21,5,6,252,21,SUPPORT,267,8420,16,2,2,28,22,65,3,0,2,0,0,0,TOP,150,9133,16,4,6,3,189,21,JUNGLE,234,14500,16,7,9,6,171,15,MIDDLE,246,12000,15,8,8,3,198,16,BOTTOM,81,13083,14,5,7,5,239,17,SUPPORT,432,6730,12,1,6,8,34,39
2234,1,10,2,3,3,0,0,TOP,86,14160,20,5,10,6,248,10,JUNGLE,141,19150,18,12,10,8,238,27,MIDDLE,38,16250,18,10,3,2,247,33,BOTTOM,800,13225,18,9,7,7,256,41,SUPPORT,35,10160,17,1,6,11,53,45,11,4,3,0,1,2,TOP,875,16810,20,8,9,15,232,34,JUNGLE,76,13750,17,5,9,11,146,49,MIDDLE,161,14100,18,9,6,4,238,33,BOTTOM,145,22050,18,13,8,4,307,13,SUPPORT,267,9565,16,1,5,17,22,84
